,latitude,longitude,city,country,temperature,humidity,cloudiness,wind_speed
126,-24.71418279730463,118.76626293413653,roebourne,au,77.0,48.0,8.0,2.0
127,65.35987660567878,85.68513838924491,igarka,ru,1.0,70.0,56.0,11.0
128,11.640204987178151,-65.31961982181878,la asuncion,ve,56.0,72.0,68.0,1.0
130,41.16155673052006,27.40479026545347,tekirdag,tr,51.0,93.0,75.0,11.0
132,20.569126790154314,98.91150334276438,mae sai,th,58.0,100.0,0.0,1.0
133,-3.3768997390693585,-103.44606680324293,puerto ayora,ec,86.0,66.0,20.0,11.0
137,-1.9368420641778386,53.967819960793065,victoria,sc,79.0,100.0,75.0,5.0
138,71.45977540601223,-92.92033501887063,thompson,ca,14.0,30.0,20.0,4.0
140,18.369378005818177,169.76741392203542,butaritari,ki,81.0,100.0,20.0,7.0
144,83.9610179407882,91.80330831724655,talnakh,ru,-2.0,72.0,76.0,16.0
147,-55.19666313461715,136.28385617233914,new norfolk,au,66.0,52.0,40.0,28.0
149,70.98889545541076,-135.18706296878142,tuktoyaktuk,ca,-10.0,76.0,90.0,6.0
150,-74.03357100250675,143.3227017361923,hobart,au,66.0,52.0,40.0,28.0
151,58.569087774544215,-73.47884864793711,iqaluit,ca,15.0,78.0,75.0,2.0
152,14.72551133501635,118.46886031901954,palauig,ph,71.0,100.0,8.0,4.0
153,8.105319875118312,38.342325560854505,butajira,et,47.0,90.0,12.0,2.0
156,-1.266304775822121,97.07446232533118,padang,id,77.0,100.0,36.0,1.0
160,47.45807025111108,-80.91167153764606,capreol,ca,30.0,30.0,20.0,9.0
166,53.47899325847402,-150.5742408884946,kodiak,us,42.0,81.0,90.0,6.0
167,22.59106677214463,-0.4681284971327955,tessalit,ml,67.0,20.0,20.0,9.0
169,-0.9359234099201785,73.98207087581807,hithadhoo,mv,85.0,98.0,88.0,8.0
170,44.52641952461721,39.359449893968986,khadyzhensk,ru,59.0,49.0,76.0,2.0
171,-34.82826484971167,172.1721050643165,ahipara,nz,69.0,88.0,36.0,12.0
172,69.53678434635916,-39.734144032938445,tasiilaq,gl,33.0,80.0,92.0,26.0
177,5.8729118794629755,-70.04162949838432,cravo norte,co,99.0,27.0,8.0,10.0
178,-32.43868309518425,119.07716042891542,northam,au,29.0,86.0,75.0,17.0
179,-1.6715454415401467,91.96041519199918,meulaboh,id,80.0,100.0,56.0,4.0
180,0.7733948372143544,123.0235147009621,gorontalo,id,71.0,95.0,12.0,2.0
181,-33.9657681727473,16.322859986475606,saldanha,za,39.0,77.0,8.0,7.0
182,-19.64178294926505,127.25404545354871,kununurra,au,75.0,94.0,48.0,7.0
184,-4.379527738032351,85.03734306313561,hambantota,lk,81.0,100.0,12.0,11.0
186,59.80599917088321,-40.9823947144323,nanortalik,gl,34.0,88.0,36.0,43.0
188,56.283694943586,110.26101638436359,kichera,ru,-1.0,54.0,0.0,2.0
193,40.739335433032494,58.231162280367215,akdepe,tm,47.0,93.0,0.0,3.0
194,11.3196819579518,-8.271543094000748,kangaba,ml,81.0,30.0,12.0,7.0
197,28.81758842778278,-10.869093502381219,tiznit,ma,59.0,94.0,48.0,8.0
198,23.079676531122885,-157.1589554485537,ahuimanu,us,75.0,74.0,75.0,5.0
199,86.21545146169223,-166.83257595433022,barrow,us,56.0,100.0,92.0,16.0
203,70.83852417224577,18.98719939712481,tromso,no,28.0,92.0,75.0,7.0
204,42.93984284707369,91.00087752017095,hami,cn,40.0,81.0,92.0,10.0
206,21.529317210319206,-118.95935877234562,constitucion,mx,77.0,11.0,75.0,18.0
210,-38.281505930253836,-75.92149472844214,lebu,cl,59.0,77.0,75.0,6.0
211,65.05149535642931,-51.191009921681115,nuuk,gl,48.0,39.0,5.0,13.0
212,-45.73924914538005,124.4500609527276,esperance,au,86.0,51.0,20.0,13.0
215,-14.35645089117159,-19.91284343022744,georgetown,sh,86.0,55.0,20.0,9.0
217,-38.501936927858324,-26.888672506237384,arraial do cabo,br,84.0,74.0,0.0,11.0
218,2.5803732883384356,-23.527515225302608,bubaque,gw,82.0,61.0,0.0,10.0
219,3.327146810807008,-50.01948074398689,amapa,br,91.0,63.0,75.0,8.0
220,49.892913651396555,149.49561004110734,vostok,ru,8.0,54.0,56.0,9.0
222,50.37863921707856,-72.48377590656926,albanel,ca,14.0,43.0,20.0,17.0
226,32.897112853100936,-57.345473671888456,saint george,bm,59.0,47.0,20.0,11.0
228,-36.04668103718192,24.365564292687594,kruisfontein,za,63.0,92.0,0.0,10.0
229,-8.491602324942875,-150.66464567801196,faanui,pf,82.0,100.0,76.0,14.0
232,-82.49153000070419,178.13275792764762,kaitangata,nz,64.0,70.0,20.0,11.0
233,89.25480531292004,104.78220862473671,khatanga,ru,-11.0,74.0,56.0,15.0
237,44.29932385100349,-14.716763835533385,muros,es,44.0,81.0,40.0,3.0
242,1.7046712266806452,103.82258350390214,kota tinggi,my,78.0,83.0,75.0,4.0
243,25.77132562766093,61.134290505257354,chabahar,ir,75.0,95.0,0.0,11.0
247,34.00236114767564,-99.46079216729218,vernon,us,46.0,65.0,1.0,18.0
248,43.19710449294115,-86.49864448011571,norton shores,us,50.0,9.0,1.0,12.0
252,86.06743889751033,16.246620471382982,longyearbyen,sj,12.0,61.0,40.0,20.0
253,35.378730081489195,-112.43168951615944,chino valley,us,44.0,29.0,40.0,17.0
259,73.25061309333427,4.776296702087052,sorland,no,32.0,100.0,75.0,31.0
261,-57.553308686422106,-30.21846757319628,chuy,uy,72.0,100.0,76.0,21.0
262,25.461108916645117,-152.92583394760993,kahului,us,75.0,83.0,75.0,13.0
267,22.614727604574497,-78.59147285026638,moron,cu,92.0,41.0,40.0,3.0
269,43.23273033241614,5.801580641342923,ollioules,fr,49.0,82.0,0.0,13.0
275,81.2318069912069,-49.09851158031972,upernavik,gl,5.0,93.0,32.0,20.0
277,-1.97997239554482,146.3850555764747,lorengau,pg,81.0,100.0,12.0,8.0
279,72.70987002253119,122.84619383492605,zhigansk,ru,-27.0,44.0,0.0,2.0
281,9.69078907878584,-82.41347651236954,changuinola,pa,77.0,94.0,56.0,2.0
290,40.86579683484027,-117.50593834867581,winnemucca,us,35.0,64.0,1.0,4.0
292,40.21935236636665,58.30942402614522,baherden,tm,45.0,100.0,56.0,3.0
293,-9.20207603153959,36.00925295917469,malinyi,tz,70.0,91.0,8.0,1.0
297,47.85657041001298,97.2128363177494,kungurtug,ru,0.0,60.0,0.0,2.0
298,44.83313642047969,-67.15172677489426,saint andrews,ca,54.0,98.0,80.0,5.0
300,48.96192979097731,-175.63056642979916,provideniya,ru,24.0,100.0,0.0,11.0
303,1.008976428317709,51.356837350736214,hobyo,so,81.0,78.0,100.0,14.0
304,34.77738316842728,166.99423884997788,severo-kurilsk,ru,23.0,100.0,0.0,6.0
306,20.964858411944817,-101.82480949638713,san roque,mx,57.0,88.0,92.0,1.0
307,58.50157076221578,85.12852987122727,belyy yar,ru,17.0,92.0,12.0,4.0
308,-10.085601870316722,-29.750184477105734,olinda,br,84.0,70.0,75.0,6.0
310,-17.951486779977287,-89.30821856685075,hualmay,pe,76.0,64.0,0.0,4.0
314,28.697046842999185,-121.68058911970269,rosarito,mx,77.0,68.0,75.0,5.0
315,47.87706752972005,-6.296470881137452,plouzane,fr,32.0,100.0,20.0,4.0
318,79.39923942936488,158.75346809264005,cherskiy,ru,-10.0,55.0,32.0,9.0
319,-48.74505945013355,177.81603612514607,christchurch,nz,62.0,77.0,8.0,9.0
320,56.22985700776181,57.76323389092727,sarana,ru,7.0,67.0,56.0,11.0
323,-2.302156358074427,16.080885761540316,bolobo,cd,69.0,100.0,92.0,2.0
324,57.183306005928046,68.61494004843749,aromashevo,ru,32.0,93.0,92.0,22.0
326,14.868249438261245,4.7852884155091715,tahoua,ne,77.0,26.0,8.0,6.0
329,35.58984597093264,-69.33047246561239,hamilton,bm,60.0,87.0,90.0,19.0
331,71.83267057840777,-102.53505923778934,yellowknife,ca,19.0,67.0,20.0,13.0
337,64.5340496749171,138.35408218499413,khandyga,ru,-19.0,56.0,56.0,2.0
343,66.9565389783074,-134.0959736786489,inuvik,ca,-8.0,83.0,75.0,9.0
345,-1.8638402929040296,157.3995080039992,kieta,pg,74.0,100.0,92.0,3.0
346,47.04816864772576,129.38678195287457,nancha,cn,9.0,46.0,0.0,7.0
347,-40.55349051446339,148.82194247269143,launceston,au,60.0,67.0,75.0,34.0
355,22.487981647308118,-82.70889823094225,artemisa,cu,84.0,62.0,75.0,8.0
356,-14.283285575612538,38.72019054241184,nampula,mz,78.0,78.0,40.0,5.0
359,-7.203026632121137,-76.66071806783641,juanjui,pe,83.0,73.0,12.0,1.0
360,34.27921688057067,21.441751822459395,darnah,ly,61.0,100.0,0.0,13.0
362,8.448790896187447,131.15218926933863,kloulklubed,pw,80.0,74.0,90.0,5.0
363,0.8122957748458219,-50.350491181975,afua,br,74.0,92.0,24.0,5.0
365,-52.670865351435694,-108.45486003311044,castro,cl,54.0,92.0,92.0,6.0
368,65.02747769240113,75.6675032046216,gubkinskiy,ru,10.0,87.0,88.0,5.0
373,60.646848554251875,-106.91764099914272,la ronge,ca,14.0,51.0,75.0,10.0
374,-21.047879561008884,-85.5714671724857,pisco,pe,78.0,61.0,0.0,25.0
377,21.66118120108186,-101.37673771297742,ocampo,mx,77.0,98.0,80.0,7.0
378,-23.348921448973883,-60.92087826743423,filadelfia,py,92.0,59.0,0.0,13.0
382,0.6052727232183486,20.41623777852348,boende,cd,70.0,99.0,76.0,2.0
383,47.366609071427604,-2.191015985229228,saint-nazaire,fr,36.0,64.0,0.0,4.0
386,60.33210813877463,133.12097923522072,amga,ru,-9.0,50.0,32.0,6.0
387,7.920722586875101,-121.35640667364355,cabo san lucas,mx,74.0,89.0,0.0,4.0
388,62.80408368181986,122.40398956608982,kysyl-syr,ru,-21.0,62.0,0.0,2.0
389,-2.0255585289965836,143.08090413215018,aitape,pg,79.0,99.0,56.0,6.0
390,17.746961240337782,-57.57634787136061,saint-francois,gp,33.0,80.0,90.0,5.0
393,-15.92623994054513,161.20190568636968,poum,nc,35.0,74.0,64.0,1.0
397,19.897736803087653,24.769776865849764,kutum,sd,58.0,22.0,0.0,7.0
406,7.75530323395715,-98.9667546001534,puerto escondido,mx,82.0,74.0,75.0,11.0
411,1.3044426551393542,3.1155606462926073,yenagoa,ng,79.0,78.0,8.0,6.0
413,18.973532141650622,155.11137213977474,katsuura,jp,55.0,100.0,75.0,13.0
414,9.829476933237444,101.33810807649468,ko samui,th,82.0,100.0,56.0,10.0
418,68.60252843327436,-151.71931834279982,college,us,24.0,79.0,75.0,4.0
420,-46.06591062456975,135.6944044493428,mount gambier,au,62.0,82.0,92.0,10.0
422,15.547526008360748,144.63507205831831,airai,pw,67.0,91.0,12.0,1.0
425,57.75130947162546,-55.14008853770305,saint anthony,ca,30.0,63.0,75.0,8.0
429,59.55935440023487,115.28378176929488,kropotkin,ru,53.0,75.0,88.0,10.0
434,88.04327905364036,88.02791643793967,dikson,ru,-5.0,100.0,48.0,34.0
438,-30.111999210784816,89.96144591637267,carnarvon,au,52.0,17.0,0.0,5.0
